INDICATOR,Indicator
NT_BF_MIXMF,Mixed Milk Feeding (0-5 months)
NT_BW_LBW,Prevalence of low birth weight among new-borns
NT_BW_WEI,Children with a birth weight
NT_CF_ASF,Egg and/or flesh foods consumption (6-23months)
NT_CF_FG_0_T_2,Severe food poverty
NT_CF_FG_3_T_4,Moderate food poverty
NT_CF_ISSSF_FL,"Introduction to solid, semi-solid foods (6-8 months)"
NT_CF_MAD,Minimum acceptable diet (children aged 6-23 months)
NT_CF_MDD,Minimum diet diversity (children aged 6 to 23 months)
NT_CF_MMF,Minimum meal frequency (children aged 6 to 23 months)
NT_CF_ZEROFV,Zero vegetable or fruit consumption (6-23months)
NT_DANT_BMI_G25_MOD,"Prevalence of overweight among adults, BMI ≥ 25 (Crude estimate)"
NT_DANT_BMI_G30_MOD_ADJ,"Prevalence of obesity among adults, BMI ≥ 30 (Age-standardized estimate)"
NT_DANT_BMI_L18_MOD,"Prevalence of underweight among adults, BMI < 18.5 (Age-standardized estimate)"
NT_IOD_ANY_TH,Iodized salt consumption (>0 ppm) among all tested households
NT_IOD_ANY_TS,Iodized salt consumption (>0 ppm) among all tested households with salt
NT_VAS_S1,"Vitamin A Supplementation, Semester 1 Coverage"
NT_VAS_S2,"Vitamin A Supplementation, Semester 2 Coverage"
NT_VAS_TWODOSE,"Vitamin A Supplementation, two-dose coverage"
PT_ADLS_10-14_LBR_HC,Percentage of adolescents (aged 10-14 years) engaged in household chores
PT_CHLD_5-17_LBR_ECON,Percentage of children (aged 5-17 years) engaged in child labour (economic activities)
PT_CHLD_5-17_LBR_ECON-HC,Percentage of children (aged 5-17 years) engaged in child labour (economic activities and household chores)
PT_CHLD_Y0T4_REG,Percentage of children under age 5 whose births are registered
PT_F_15-19_MRD,Percentage of girls aged 15-19 years who are currently married or in union
PT_F_15-49_W-BTNG,Percentage of women (aged 15-49 years) who consider a husband to be justified in hitting or beating his wife for at least one of the specified reasons
PT_F_18-29_SX-V_AGE-18,Percentage of women (aged 18-29 years) who experienced sexual violence by age 18
PT_F_20-24_MRD_U15,Percentage of women (aged 20-24 years) married or in union before age 15
PT_F_20-24_MRD_U15_TND,"Percentage of women aged 20 to 24 years who were first married or in union before age 15 (UNICEF analysis, trend)"
PT_F_20-24_MRD_U18,Percentage of women (aged 20-24 years) married or in union before age 18
PT_F_20-24_MRD_U18_TND,"Percentage of women aged 20 to 24 years who were first married or in union before age 18 (UNICEF analysis, trend)"
PT_F_TMRD15,Total number of girls and women of all ages who were first married or in union before age 15
PT_F_TMRD18,Total number of girls and women of all ages who were first married or in union before age 18
PT_M_15-19_MRD,Percentage of boys aged 15-19 years who are currently married or in union
PT_M_20-24_MRD_U18,Percentage of men (aged 20-24 years) married or in union before age 18
PV_ADOLESCENT,Adolescent poverty
PV_CHLD_DPRV-AVG-HS,Average number of deprivations suffered per child. Homogeneous moderate standards
PV_CHLD_DPRV-AVG-POV-HS,Average number of deprivations for children suffering at least one deprivation. Homogeneous moderate standards
PV_CHLD_DPRV-AVG-POV-S-HS,Average number of deprivations for children suffering at least one deprivation. Homogeneous severe standards
PV_CHLD_DPRV-AVG-S-HS,Average number of deprivations suffered per child. Homogeneous severe standards
PV_CHLD_DPRV-E1-HS,Percentage Children suffering exactly one deprivation. Homogeneous moderate standards
PV_CHLD_DPRV-E2-HS,Percentage Children suffering exactly two deprivation. Homogeneous moderate standards
PV_CHLD_DPRV-E3-HS,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards
PV_CHLD_DPRV-E4-HS,Percentage Children suffering exactly four deprivation. Homogeneous moderate standards
PV_CHLD_DPRV-E5-HS,Percentage Children suffering exactly five deprivation. Homogeneous moderate standards
